name,squad_size,avg_age,foreigners,market_value,year
Manchester City,24,27.9,19,916.92,2019
Liverpool FC,26,27.8,17,873.14,2019
Tottenham Hotspur,25,26.1,17,629.1,2019
Chelsea FC,27,26.3,19,611.91,2019
Manchester United,27,25.9,17,582.03,2019
Arsenal FC,27,25.6,19,521.42,2019
Everton FC,25,27.5,17,367.07,2019
Leicester City,26,27.3,16,363.06,2019
Wolverhampton Wanderers,24,25.5,20,266.94,2019
West Ham United,25,28.5,17,258.53,2019
AFC Bournemouth,29,26.3,12,243.27,2019
Newcastle United,31,27.6,20,221.56,2019
Aston Villa,27,27.2,17,196.43,2019
Watford FC,29,28.0,21,172.67,2019
Brighton & Hove Albion,26,27.2,17,165.51,2019
Southampton FC,21,25.8,11,163.98,2019
Crystal Palace,22,29.7,16,154.71,2019
Burnley FC,24,29.2,9,142.88,2019
Norwich City,22,27.8,18,119.25,2019
Sheffield United,27,28.1,13,117.63,2019
Manchester City,46,23.3,33,948.83,2018
Chelsea FC,54,24.6,40,941.63,2018
Liverpool FC,39,23.8,25,810.09,2018
Manchester United,36,24.4,22,749.7,2018
Tottenham Hotspur,34,24.5,20,737.64,2018
Arsenal FC,42,23.9,28,533.97,2018
Everton FC,40,25.0,25,386.55,2018
Leicester City,37,25.4,26,296.1,2018
West Ham United,37,25.7,22,278.73,2018
Southampton FC,40,23.9,18,243.5,2018
Crystal Palace,36,25.4,20,236.14,2018
Fulham FC,33,24.7,25,215.55,2018
Newcastle United,37,25.0,22,180.0,2018
Burnley FC,33,27.1,14,167.18,2018
AFC Bournemouth,37,24.7,16,155.52,2018
Brighton & Hove Albion,41,24.8,29,155.39,2018
Watford FC,39,25.2,31,153.36,2018
Wolverhampton Wanderers,40,23.1,26,144.38,2018
Huddersfield Town,33,24.3,21,101.84,2018
Cardiff City,35,26.3,32,68.4,2018
Chelsea FC,46,23.7,33,584.69,2017
Manchester United,35,25.1,22,580.59,2017
Arsenal FC,45,23.8,27,570.51,2017
Manchester City,32,24.1,21,554.72,2017
Tottenham Hotspur,34,23.8,22,481.82,2017
Liverpool FC,35,24.0,21,445.5,2017
Everton FC,48,23.9,27,312.08,2017
West Ham United,41,24.3,23,238.37,2017
Leicester City,34,25.5,21,226.89,2017
Southampton FC,29,24.9,16,222.75,2017
Crystal Palace,41,24.8,22,174.98,2017
Stoke City,35,25.2,27,160.02,2017
Swansea City,36,25.3,32,154.21,2017
Watford FC,37,25.9,27,150.57,2017
Newcastle United,37,24.4,25,150.55,2017
West Bromwich Albion,33,25.5,17,148.95,2017
AFC Bournemouth,35,25.0,13,104.49,2017
Brighton & Hove Albion,39,25.8,26,96.08,2017
Burnley FC,30,26.8,16,87.17,2017
Huddersfield Town,35,24.6,18,57.96,2017
Manchester City,44,24.7,36,559.26,2016
Chelsea FC,49,23.8,41,542.97,2016
Manchester United,42,23.5,24,479.93,2016
Arsenal FC,42,23.7,26,470.48,2016
Liverpool FC,38,23.4,23,354.74,2016
Tottenham Hotspur,38,22.7,20,346.95,2016
Everton FC,39,24.9,22,255.92,2016
West Ham United,44,23.7,27,216.7,2016
Crystal Palace,45,25.1,25,194.13,2016
Southampton FC,36,24.4,19,192.83,2016
Stoke City,34,26.1,27,173.93,2016
Watford FC,46,25.8,36,170.42,2016
Leicester City,31,25.6,21,157.5,2016
Swansea City,37,25.9,34,123.39,2016
Hull City,42,25.0,22,119.66,2016
Middlesbrough FC,35,26.3,21,109.58,2016
West Bromwich Albion,30,26.3,17,103.59,2016
Sunderland AFC,42,24.3,27,101.25,2016
AFC Bournemouth,41,23.4,16,93.15,2016
Burnley FC,36,25.7,14,73.62,2016
Chelsea FC,40,23.7,30,521.82,2015
Manchester City,38,24.4,27,407.48,2015
Arsenal FC,41,23.7,29,367.74,2015
Manchester United,44,22.5,23,336.74,2015
Liverpool FC,44,22.5,25,292.5,2015
Tottenham Hotspur,31,22.7,16,228.38,2015
Everton FC,39,24.7,19,183.71,2015
Newcastle United,42,23.6,27,180.59,2015
Southampton FC,35,24.1,19,168.75,2015
West Ham United,50,23.2,26,166.68,2015
Swansea City,36,24.8,29,124.38,2015
Sunderland AFC,42,25.5,27,115.43,2015
Stoke City,31,26.3,24,114.53,2015
Crystal Palace,38,25.6,19,108.9,2015
West Bromwich Albion,35,25.4,22,105.3,2015
Aston Villa,44,23.5,23,101.07,2015
Watford FC,39,26.4,35,99.11,2015
Norwich City,41,25.6,22,93.38,2015
Leicester City,35,25.9,19,82.13,2015
AFC Bournemouth,49,24.1,22,61.22,2015
Chelsea FC,38,23.9,28,473.49,2014
Manchester United,43,23.9,25,470.16,2014
Manchester City,36,25.4,29,430.2,2014
Arsenal FC,42,23.0,29,363.92,2014
Tottenham Hotspur,42,23.7,25,268.43,2014
Liverpool FC,35,23.4,21,256.5,2014
Everton FC,40,24.3,19,159.75,2014
Southampton FC,37,23.5,20,135.36,2014
Newcastle United,42,22.9,26,125.87,2014
Stoke City,30,26.4,23,115.97,2014
Aston Villa,38,24.3,20,114.3,2014
West Ham United,36,24.8,21,110.7,2014
Hull City,35,26.1,24,110.03,2014
Sunderland AFC,34,24.8,20,103.73,2014
Queens Park Rangers,41,25.1,24,103.55,2014
Swansea City,36,24.3,30,96.93,2014
West Bromwich Albion,34,25.5,22,90.54,2014
Crystal Palace,42,26.0,25,80.37,2014
Leicester City,37,25.9,18,50.27,2014
Burnley FC,30,25.5,13,33.08,2014
Chelsea FC,48,23.8,40,524.68,2013
Manchester United,34,24.9,24,460.58,2013
Manchester City,27,25.7,21,431.1,2013
Arsenal FC,37,23.8,30,299.43,2013
Tottenham Hotspur,36,23.4,21,266.4,2013
Liverpool FC,31,23.8,22,245.25,2013
Everton FC,30,25.9,22,195.75,2013
Newcastle United,33,24.4,26,169.97,2013
Sunderland AFC,37,24.9,28,136.13,2013
Fulham FC,44,25.4,33,133.52,2013
West Ham United,42,25.3,22,115.43,2013
Stoke City,29,26.1,20,113.4,2013
Swansea City,31,25.5,27,106.72,2013
Aston Villa,34,24.0,20,104.67,2013
Southampton FC,31,23.9,16,92.25,2013
Norwich City,29,26.2,17,86.18,2013
Cardiff City,39,24.6,36,83.12,2013
West Bromwich Albion,30,26.6,21,82.76,2013
Hull City,33,26.4,22,62.91,2013
Crystal Palace,41,26.2,24,57.83,2013
Manchester City,38,24.0,27,459.14,2012
Manchester United,36,24.1,22,400.05,2012
Chelsea FC,31,25.3,22,367.65,2012
Tottenham Hotspur,35,25.1,16,278.57,2012
Arsenal FC,36,23.8,30,264.38,2012
Liverpool FC,38,22.8,19,247.91,2012
Newcastle United,36,24.1,25,171.23,2012
Queens Park Rangers,33,28.1,18,135.0,2012
Sunderland AFC,31,25.4,18,114.3,2012
